Desired Title,Link,Year,Mo
2012_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/8da6214a83aa781d523fcbe59817378788.pdf,2012,3
2012_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/b47b10271839cd91812049687c90d0ed71.pdf,2012,5
2012_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/cca59d9ff7aecfbd8eec570f9a481bbb11.pdf,2012,6
2012_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/741fcea3fcb50bd6d8361c79080c283d28.pdf,2012,9
2012_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/69c24ecc150fb964f0f9734eb7cea12759.pdf,2012,10
2012_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/4439c9b4c35415b273952b1816ea51f485.pdf,2012,11
2012_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/b7e62f38b0bb02ab8406ee2876136d1e55.pdf,2012,12
2013_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/517f42cc446e56a5e786c5df22e7416d48.pdf,2013,1
2013_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/b0b8f5703ea6905a01dd31e1bde22aa679.pdf,2013,2
2013_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/2d374eef03cb1e8eb06fdcde1e16ead562.pdf,2013,4
2013_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/ba381b07446a18d47b7378fd13c1421475.pdf,2013,5
2013_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/2011fbbb4c3a3aaef00b41c84f4f064531.pdf,2013,9
2013_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/a6ceaa59742ed5d225e0706c49f4735339.pdf,2013,10
2013_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/2345f1464a24d7dea1d3470c8687711e34.pdf,2013,11
2013_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/90a9871111f18686b46f32a14deead5484.pdf,2013,12
2014_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/d76b98b8474bae4b8b275bde63608f6524.pdf,2014,1
2014_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/ce2fe45f90bf1b45b1228add3c341f042.doc,2014,2
2014_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/455d6e8fc6cc038239d7a64aaa7a5b4699.doc,2014,3
2014_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/f34da534c9212e4a19926f6238e3f17464.doc,2014,4
2014_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/63f45106656c575b93615d04de87850594.doc,2014,5
